!	Two Link Robot Arm Testing			
!@	x2	y2	theta1	theta2
	1	0	0	0
	1.1	0.1	0	0
	1.2	0.2	0	0
	1.3	0.3	0	0
	1.4	0.4	0	0
	1.5	0.5	0	0
	1.6	0.6	0	0
	1.7	0.7	0	0
	1.8	0.8	0	0
	1.9	0.9	0	0
	2	1	0	0
	1	1	0	0
	1.1	0.9	0	0
	1.2	0.8	0	0
	1.3	0.7	0	0
	1.4	0.6	0	0
	1.5	0.5	0	0
	1.6	0.4	0	0
	1.7	0.3	0	0
	1.8	0.2	0	0
	1.9	0.1	0	0
	2	0	0	0
	1.8	0.5	0	0
	1.79885840942752	0.526146722824297	0	0
	1.79544232590366	0.552094453300079	0	0
	1.78977774788672	0.577645713530756	0	0
	1.78190778623577	0.602606042997701	0	0
	1.77189233611099	0.62678547852221	0	0
	1.75980762113533	0.65	0	0
	1.7457456132867	0.672072930905314	0	0
	1.72981333293569	0.692836282905962	0	0
	1.71213203435596	0.712132034355964	0	0
	1.69283628290596	0.729813332935693	0	0
	1.67207293090531	0.745745613286698	0	0
	1.65	0.759807621135332	0	0
	1.62678547852221	0.771892336110995	0	0
	1.6026060429977	0.781907786235773	0	0
	1.57764571353076	0.789777747886721	0	0
	1.55209445330008	0.795442325903662	0	0
	1.5261467228243	0.798858409427524	0	0
	1.5	0.8	0	0
	1.4738532771757	0.798858409427524	0	0
	1.44790554669992	0.795442325903662	0	0
	1.42235428646924	0.789777747886721	0	0
	1.3973939570023	0.781907786235773	0	0
	1.37321452147779	0.771892336110995	0	0
	1.35	0.759807621135332	0	0
	1.32792706909469	0.745745613286698	0	0
	1.30716371709404	0.729813332935693	0	0
	1.28786796564404	0.712132034355964	0	0
	1.27018666706431	0.692836282905962	0	0
	1.2542543867133	0.672072930905314	0	0
	1.24019237886467	0.65	0	0
	1.22810766388901	0.62678547852221	0	0
	1.21809221376423	0.602606042997701	0	0
	1.21022225211328	0.577645713530756	0	0
	1.20455767409634	0.552094453300079	0	0
	1.20114159057248	0.526146722824297	0	0
	1.2	0.5	0	0
	1.20114159057248	0.473853277175703	0	0
	1.20455767409634	0.447905546699921	0	0
	1.21022225211328	0.422354286469244	0	0
	1.21809221376423	0.397393957002299	0	0
	1.22810766388901	0.37321452147779	0	0
	1.24019237886467	0.35	0	0
	1.2542543867133	0.327927069094686	0	0
	1.27018666706431	0.307163717094038	0	0
	1.28786796564404	0.287867965644036	0	0
	1.30716371709404	0.270186667064307	0	0
	1.32792706909469	0.254254386713302	0	0
	1.35	0.240192378864668	0	0
	1.37321452147779	0.228107663889005	0	0
	1.3973939570023	0.218092213764228	0	0
